queen presence,apparent hive temp,apparent temp diff,CCD
1,36.39,5.75,0
1,38.78,8.41,0
1,36.65,6.669999999999998,0
1,36.02,6.980000000000004,0
1,34.9,6.869999999999997,0
1,33.75,7.84,0
1,30.06,6.689999999999998,0
1,36.47,14.879999999999999,0
1,38.96,18.05,0
1,38.41,17.869999999999997,0
1,37.36,17.169999999999998,0
1,36.62,16.429999999999996,0
1,38.53,18.42,0
1,38.0,18.08,0
1,37.65,18.09,0
1,36.68,17.37,0
1,34.74,15.55,0
1,36.55,16.889999999999997,0
1,37.22,16.83,0
1,38.47,16.869999999999997,0
1,40.87,17.839999999999996,0
1,39.7,15.250000000000004,0
1,41.13,15.220000000000002,0
1,44.3,16.639999999999997,0
1,36.46,7.690000000000001,0
1,38.78,9.760000000000002,0
1,37.83,9.45,0
1,35.3,7.7499999999999964,0
1,36.01,9.36,0
1,32.05,7.109999999999996,0
1,31.04,8.599999999999998,0
1,34.76,14.349999999999998,0
1,35.0,15.870000000000001,0
1,36.35,17.84,0
1,32.37,14.239999999999998,0
1,36.48,18.599999999999998,0
1,36.62,18.81,0
1,36.87,19.08,0
1,35.76,18.159999999999997,0
1,34.73,17.529999999999998,0
1,35.91,18.879999999999995,0
1,35.39,18.12,0
1,34.79,16.64,0
1,35.77,16.250000000000004,0
1,40.02,17.590000000000003,0
1,44.69,19.9,0
1,47.71,21.03,0
1,47.44,18.929999999999996,0
1,42.52,13.000000000000004,0
1,41.61,11.939999999999998,0
1,37.79,8.79,1
1,36.77,8.640000000000004,0
1,36.6,9.580000000000002,0
1,33.48,8.009999999999998,0
1,33.03,9.82,0
1,33.57,12.719999999999999,0
1,38.86,19.21,0
1,36.73,17.869999999999997,0
1,36.01,18.099999999999998,0
1,35.75,17.84,0
1,37.91,20.639999999999997,0
1,35.01,18.659999999999997,0
1,35.28,19.75,0
1,34.22,19.43,0
1,33.03,18.85,0
1,32.43,18.67,0
1,31.26,16.150000000000002,0
1,35.27,16.080000000000002,0
1,37.16,15.029999999999998,1
1,41.59,16.620000000000005,0
1,44.94,17.279999999999998,0
1,43.11,13.559999999999999,0
1,45.17,14.060000000000002,0
1,40.07,8.64,0
1,37.71,5.93,0
1,35.79,4.48,0
1,35.68,5.350000000000001,0
1,39.06,10.570000000000004,0
1,36.51,9.569999999999997,0
1,32.37,8.269999999999996,0
1,34.41,12.619999999999997,0
1,40.22,19.68,0
1,37.7,17.910000000000004,0
1,36.61,17.65,0
1,38.2,19.970000000000002,0
1,36.18,18.85,0
1,36.46,19.68,0
1,35.61,19.15,0
1,34.28,18.520000000000003,0
1,33.74,18.380000000000003,0
1,33.79,18.28,0
1,35.6,17.900000000000002,0
1,36.95,16.150000000000002,0
1,40.29,16.22,1
1,44.24,18.590000000000003,1
1,42.76,15.369999999999997,0
1,45.33,16.369999999999997,0
1,43.46,13.650000000000002,0
1,40.4,10.389999999999997,0
1,39.66,8.879999999999995,0
1,37.07,6.82,1
1,37.04,7.439999999999998,0
1,35.37,7.419999999999998,0
1,34.74,9.610000000000003,0
1,34.31,11.650000000000002,0
1,35.19,14.809999999999999,0
1,36.43,16.61,0
1,37.34,18.210000000000004,0
1,36.76,18.349999999999998,0
1,35.41,18.119999999999997,0
1,33.67,16.94,0
1,35.03,18.89,0
1,34.25,18.61,0
1,32.69,17.409999999999997,0
1,30.91,14.75,0
1,33.96,15.41,0
1,35.26,14.079999999999998,0
1,39.36,15.25,0
1,45.06,16.87,1
1,45.7,14.580000000000002,0
1,43.89,9.5,0
1,41.98,6.609999999999999,0
1,38.04,2.25,0
1,37.06,1.3900000000000006,0
1,37.9,1.9600000000000009,0
1,39.1,3.990000000000002,0
1,37.05,3.4599999999999937,0
1,34.32,5.949999999999999,0
1,39.85,15.520000000000003,0
1,37.95,16.240000000000002,0
1,36.29,18.169999999999998,0
1,33.51,15.849999999999998,0
1,37.19,12.569999999999997,0
1,40.52,13.040000000000003,0
1,44.4,13.619999999999997,0
1,43.22,10.119999999999997,0
1,44.01,8.629999999999995,0
1,41.88,6.410000000000004,0
1,39.44,3.9099999999999966,1
1,38.6,2.6200000000000045,0
1,38.1,1.7000000000000028,0
1,36.15,1.0499999999999972,0
1,34.7,4.880000000000003,0
1,34.15,8.2,0
1,31.58,13.909999999999997,0
1,28.28,11.010000000000002,0
1,35.12,17.38,0
1,33.28,13.780000000000001,0
1,34.97,13.529999999999998,0
1,42.09,18.770000000000003,0
1,47.12,21.259999999999998,0
1,46.05,17.08,0
1,42.55,12.039999999999996,0
1,39.61,7.98,1
1,37.3,5.259999999999998,0
1,37.37,5.339999999999996,0
1,36.37,5.429999999999996,0
1,35.62,6.689999999999998,0
1,33.62,6.389999999999997,0
1,31.51,6.84,0
1,37.05,15.129999999999995,0
1,40.55,19.81,0
1,40.53,20.59,0
1,34.88,15.650000000000002,0
1,33.38,14.550000000000004,0
1,30.61,12.329999999999998,0
1,36.0,18.05,0
1,33.59,16.150000000000002,0
1,33.79,16.619999999999997,0
1,30.58,13.219999999999999,0
1,33.47,15.98,0
1,34.4,15.959999999999997,0
1,35.19,14.409999999999997,0
1,40.78,17.55,0
1,44.63,18.85,0
1,46.93,19.21,0
1,48.04,18.509999999999998,0
1,44.56,14.280000000000001,0
1,38.11,7.530000000000001,0
1,37.61,6.509999999999998,0
1,36.73,6.469999999999995,0
1,38.02,8.360000000000003,0
1,36.8,8.669999999999998,0
1,32.87,7.179999999999996,0
1,33.52,10.710000000000004,0
1,38.05,16.959999999999997,0
1,36.42,16.5,0
1,38.31,19.37,0
1,37.07,18.89,0
1,37.49,19.520000000000003,0
1,36.67,18.770000000000003,0
1,37.3,19.449999999999996,0
1,36.04,18.349999999999998,0
1,35.06,17.730000000000004,0
1,34.03,17.040000000000003,0
1,34.02,15.000000000000004,0
1,35.96,14.91,0
1,37.78,13.93,0
1,44.18,17.24,1
1,45.48,16.389999999999997,0
1,41.72,10.91,0
1,41.54,8.990000000000002,1
1,38.62,6.159999999999997,0
1,40.06,7.440000000000005,0
1,37.0,5.989999999999998,0
1,36.02,6.020000000000003,0
1,36.9,8.41,0
1,34.04,8.809999999999999,0
1,30.12,8.18,0
1,37.92,18.23,1
1,38.07,19.59,0
1,36.22,18.81,0
1,38.0,21.52,0
1,37.63,21.840000000000003,0
1,36.63,21.35,0
1,36.93,22.54,0
1,36.39,22.47,0
1,35.91,22.519999999999996,0
1,31.18,18.299999999999997,0
1,34.47,19.57,0
1,36.92,18.71,0
1,36.27,15.230000000000004,0
1,42.16,17.719999999999995,1
1,44.83,17.93,0
1,43.65,14.169999999999998,1
1,42.62,12.489999999999998,1
1,39.96,9.36,1
1,39.6,9.5,0
1,23.42,0.6800000000000033,1
1,20.93,1.0,0
1,19.63,0.5999999999999979,0
1,18.64,0.33000000000000185,0
1,18.32,1.1000000000000014,0
1,17.73,1.620000000000001,0
1,17.83,2.5299999999999976,0
1,16.31,2.3599999999999994,0
1,17.39,2.2700000000000014,0
1,29.45,10.82,0
1,42.15,20.66,1
1,50.56,25.200000000000003,0
1,52.43,24.009999999999998,0
1,51.87,21.38,1
1,51.3,20.889999999999997,0
1,46.51,14.77,0
1,37.54,6.09,0
1,32.44,0.49999999999999645,0
1,30.64,0.4499999999999993,0
1,27.85,-0.23999999999999844,0
1,26.34,1.6699999999999982,0
1,22.39,0.21999999999999886,0
1,19.31,0.35999999999999943,1
1,17.95,1.0299999999999976,1
1,16.76,0.6800000000000033,0
1,16.58,1.6499999999999986,0
1,19.05,5.15,0
1,16.21,2.7700000000000014,0
1,17.45,4.25,0
1,15.73,3.0999999999999996,1
1,19.1,6.920000000000002,0
1,15.2,3.379999999999999,0
1,17.85,6.280000000000001,0
1,25.05,11.4,0
1,36.92,20.060000000000002,0
1,44.32,24.85,0
1,50.51,28.549999999999997,0
1,50.25,26.73,0
1,51.16,26.299999999999997,0
1,48.48,22.539999999999996,0
1,38.19,12.79,1
1,30.14,5.18,0
1,28.15,4.649999999999999,0
1,26.65,4.479999999999997,0
1,25.97,6.07,0
1,23.49,5.879999999999999,0
1,19.18,4.390000000000001,0
1,20.14,6.34,0
1,24.31,11.149999999999999,0
1,21.12,8.280000000000001,0
1,18.19,5.160000000000002,0
1,37.54,10.5,0
1,40.07,10.46,0
